Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,452962797,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,54765,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,40,Austria,AUT,TOTAL,All commodities,1,No Quantity,,,237,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,48,Bahrain,BHR,TOTAL,All commodities,1,No Quantity,,,694,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,26402676,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,96,Brunei Darussalam,BRN,TOTAL,All commodities,1,No Quantity,,,40923,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,283,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,152,Chile,CHL,TOTAL,All commodities,1,No Quantity,,,439,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,156,China,CHN,TOTAL,All commodities,1,No Quantity,,,132657,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,208,Denmark,DNK,TOTAL,All commodities,1,No Quantity,,,65,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,251,France,FRA,TOTAL,All commodities,1,No Quantity,,,4211,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,276,Germany,DEU,TOTAL,All commodities,1,No Quantity,,,1753246,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,344,"China, Hong Kong SAR",HKG,TOTAL,All commodities,1,No Quantity,,,73288242,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,376,Israel,ISR,TOTAL,All commodities,1,No Quantity,,,82,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,381,Italy,ITA,TOTAL,All commodities,1,No Quantity,,,2568415,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,392,Japan,JPN,TOTAL,All commodities,1,No Quantity,,,2799871,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,410,Rep. of Korea,KOR,TOTAL,All commodities,1,No Quantity,,,10959,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,422,Lebanon,LBN,TOTAL,All commodities,1,No Quantity,,,159,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,442,Luxembourg,LUX,TOTAL,All commodities,1,No Quantity,,,50480,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,458,Malaysia,MYS,TOTAL,All commodities,1,No Quantity,,,17360,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,490,"Other Asia, nes",,TOTAL,All commodities,1,No Quantity,,,19286,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,524,Nepal,NPL,TOTAL,All commodities,1,No Quantity,,,1638630,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,528,Netherlands,NLD,TOTAL,All commodities,1,No Quantity,,,84959,0
S1,2011,2011,2011,0,0,2,Export,64,Bhutan,BTN,608,Philippines,PHL,TOTAL,All commodities,1,No Quantity,,,15041,0
