Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,238750306509,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,4,Afghanistan,AFG,TOTAL,All commodities,1,No Quantity,,,6595278,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,8,Albania,ALB,TOTAL,All commodities,1,No Quantity,,,2655750,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,10,Antarctica,ATA,TOTAL,All commodities,1,No Quantity,,,9081815,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,12,Algeria,DZA,TOTAL,All commodities,1,No Quantity,,,3608941,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,TOTAL,All commodities,1,No Quantity,,,4478544,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,24,Angola,AGO,TOTAL,All commodities,1,No Quantity,,,8311730,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,28,Antigua and Barbuda,ATG,TOTAL,All commodities,1,No Quantity,,,1684110,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,31,Azerbaijan,AZE,TOTAL,All commodities,1,No Quantity,,,10368884,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,124744011,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,40,Austria,AUT,TOTAL,All commodities,1,No Quantity,,,67286885,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,3267683,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,TOTAL,All commodities,1,No Quantity,,,140680796,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,546530885,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,51,Armenia,ARM,TOTAL,All commodities,1,No Quantity,,,5230342,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,52,Barbados,BRB,TOTAL,All commodities,1,No Quantity,,,1809420,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,56,Belgium,BEL,TOTAL,All commodities,1,No Quantity,,,1031543916,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,60,Bermuda,BMU,TOTAL,All commodities,1,No Quantity,,,342441,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,64,Bhutan,BTN,TOTAL,All commodities,1,No Quantity,,,181446,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,TOTAL,All commodities,1,No Quantity,,,1975877,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,70,Bosnia Herzegovina,BIH,TOTAL,All commodities,1,No Quantity,,,983440,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,72,Botswana,BWA,TOTAL,All commodities,1,No Quantity,,,3151062,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,689897965,0
S1,2013,2013,2013,0,0,2,Export,36,Australia,AUS,84,Belize,BLZ,TOTAL,All commodities,1,No Quantity,,,198150,0
