Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,23904108012,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,4,Afghanistan,AFG,TOTAL,All commodities,1,No Quantity,,,205327392,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,12,Algeria,DZA,TOTAL,All commodities,1,No Quantity,,,976630,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,24,Angola,AGO,TOTAL,All commodities,1,No Quantity,,,811,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,69958,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,185154,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,40,Austria,AUT,TOTAL,All commodities,1,No Quantity,,,399482702,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,48,Bahrain,BHR,TOTAL,All commodities,1,No Quantity,,,16996,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,4738,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,56,Belgium,BEL,TOTAL,All commodities,1,No Quantity,,,7694909,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,60,Bermuda,BMU,TOTAL,All commodities,1,No Quantity,,,26105,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,280487,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,96,Brunei Darussalam,BRN,TOTAL,All commodities,1,No Quantity,,,5586,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,100,Bulgaria,BGR,TOTAL,All commodities,1,No Quantity,,,119110742,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,112,Belarus,BLR,TOTAL,All commodities,1,No Quantity,,,14696578,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,52100,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,136,Cayman Isds,CYM,TOTAL,All commodities,1,No Quantity,,,13236,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,156,China,CHN,TOTAL,All commodities,1,No Quantity,,,88629156,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,170,Colombia,COL,TOTAL,All commodities,1,No Quantity,,,1435,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,178,Congo,COG,TOTAL,All commodities,1,No Quantity,,,15691,0
S1,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,191,Croatia,HRV,TOTAL,All commodities,1,No Quantity,,,213251209,0
