Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,10981660197,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,16,American Samoa,ASM,TOTAL,All commodities,1,No Quantity,,,645,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,24,Angola,AGO,TOTAL,All commodities,1,No Quantity,,,104851,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,28,Antigua and Barbuda,ATG,TOTAL,All commodities,1,No Quantity,,,124469545,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,31,Azerbaijan,AZE,TOTAL,All commodities,1,No Quantity,,,69817,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,86134717,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,3662910,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,40,Austria,AUT,TOTAL,All commodities,1,No Quantity,,,10680,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,10495872,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,48,Bahrain,BHR,TOTAL,All commodities,1,No Quantity,,,1020,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,382821,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,52,Barbados,BRB,TOTAL,All commodities,1,No Quantity,,,373562324,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,56,Belgium,BEL,TOTAL,All commodities,1,No Quantity,,,39840463,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,60,Bermuda,BMU,TOTAL,All commodities,1,No Quantity,,,12991070,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,68,Bolivia (Plurinational State of),BOL,TOTAL,All commodities,1,No Quantity,,,86246,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,210906978,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,84,Belize,BLZ,TOTAL,All commodities,1,No Quantity,,,14633021,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,86,Br. Indian Ocean Terr.,IOT,TOTAL,All commodities,1,No Quantity,,,2131,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,92,Br. Virgin Isds,VGB,TOTAL,All commodities,1,No Quantity,,,6272251,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,176764903,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,132,Cabo Verde,CPV,TOTAL,All commodities,1,No Quantity,,,204,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,136,Cayman Isds,CYM,TOTAL,All commodities,1,No Quantity,,,5403893,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,144,Sri Lanka,LKA,TOTAL,All commodities,1,No Quantity,,,15685,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,152,Chile,CHL,TOTAL,All commodities,1,No Quantity,,,145755953,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,156,China,CHN,TOTAL,All commodities,1,No Quantity,,,33237093,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,170,Colombia,COL,TOTAL,All commodities,1,No Quantity,,,287362711,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,174,Comoros,COM,TOTAL,All commodities,1,No Quantity,,,5245,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,180,Dem. Rep. of the Congo,COD,TOTAL,All commodities,1,No Quantity,,,134160,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,188,Costa Rica,CRI,TOTAL,All commodities,1,No Quantity,,,130380787,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,192,Cuba,CUB,TOTAL,All commodities,1,No Quantity,,,21378099,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,196,Cyprus,CYP,TOTAL,All commodities,1,No Quantity,,,213615,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,204,Benin,BEN,TOTAL,All commodities,1,No Quantity,,,3349705,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,208,Denmark,DNK,TOTAL,All commodities,1,No Quantity,,,651924,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,212,Dominica,DMA,TOTAL,All commodities,1,No Quantity,,,29200118,0
S1,2010,2010,2010,0,0,2,Export,780,Trinidad and Tobago,TTO,214,Dominican Rep.,DOM,TOTAL,All commodities,1,No Quantity,,,134158667,0
