1962	835
1963	459
1963	461
1971	588
1973	868
1974	356
1974	418
1975	886
1977	590
1978	850
1979	658
1980	136
1980	841
1982	706
1984	430
1986	180
1987	532
1989	666
1989	720
1990	200
1990	278
1990	280
1990	890
1991	24
1992	230
1994	474
1995	148
1995	254
1995	312
1995	638
1997	332
1998	58
1999	711
2000	762
2000	795
2002	694
2003	232
2004	891
2005	624
2006	192
2006	20
2006	876
2007	748
2008	324
2008	530
2008	660
2008	662
2008	690
2008	784
2008	798
2009	174
2009	175
2009	234
2009	262
2009	266
2009	308
2009	368
2009	414
2009	426
2010	104
2010	204
2010	404
2010	434
2010	760
2010	780
2011	140
2011	184
2011	364
2011	48
2011	50
2011	524
2011	548
2011	634
2011	64
2011	659
2011	736
2011	740
2011	862
2012	108
2012	120
2012	212
2012	214
2012	231
2012	296
2012	340
2012	344
2012	384
2012	4
2012	446
2012	462
2012	466
2012	504
2012	533
2012	540
2012	566
2012	585
2012	598
2012	670
2012	686
2012	704
2012	72
2012	729
2012	776
2012	796
2013	100
2013	112
2013	116
2013	12
2013	124
2013	132
2013	144
2013	152
2013	156
2013	170
2013	178
2013	188
2013	191
2013	196
2013	203
2013	208
2013	218
2013	222
2013	233
2013	242
2013	246
2013	251
2013	258
2013	268
2013	270
2013	275
2013	276
2013	28
2013	288
2013	300
2013	304
2013	31
2013	32
2013	320
2013	328
2013	348
2013	352
2013	36
2013	360
2013	372
2013	376
2013	381
2013	388
2013	392
2013	398
2013	40
2013	400
2013	410
2013	417
2013	422
2013	428
2013	44
2013	440
2013	442
2013	450
2013	454
2013	458
2013	470
2013	478
2013	480
2013	484
2013	490
2013	496
2013	498
2013	499
2013	500
2013	508
2013	51
2013	512
2013	516
2013	52
2013	528
2013	554
2013	558
2013	56
2013	562
2013	579
2013	586
2013	591
2013	60
2013	600
2013	604
2013	608
2013	616
2013	620
2013	626
2013	642
2013	643
2013	646
2013	678
2013	68
2013	682
2013	688
2013	699
2013	70
2013	702
2013	703
2013	705
2013	710
2013	716
2013	724
2013	752
2013	757
2013	76
2013	764
2013	768
2013	788
2013	792
2013	8
2013	800
2013	804
2013	807
2013	818
2013	826
2013	834
2013	84
2013	842
2013	854
2013	858
2013	882
2013	887
2013	894
2013	90
2013	96
2013	97
